Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
04/13/2020,407,31,11,46,68,65,98,54,37,28,0,205,201,1,118,13,145,54,21,56,0,0,1,5,3,8,6,8,0,14,17,0,11,1,16,3,0,0
04/08/2020,528,34,5,65,108,80,97,86,49,38,0,229,282,17,122,22,212,68,27,77,0,0,0,1,5,8,9,11,0,13,21,0,2,2,20,10,0,0
04/30/2020,1316,37,71,248,254,264,202,137,69,71,0,603,680,33,540,15,187,124,69,381,0,0,3,0,3,8,11,12,0,16,21,0,13,1,16,6,0,1
04/16/2020,643,30,12,110,115,126,120,79,46,35,0,313,329,1,234,14,173,67,36,119,0,0,0,2,2,6,8,12,0,13,17,0,5,3,15,7,0,0
01/23/2020,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/27/2020,780,34,28,139,122,157,117,106,45,65,1,369,352,59,272,16,139,73,20,260,0,0,0,1,4,4,13,12,0,12,22,0,9,1,16,7,1,0
03/17/2020,52,1,1,8,8,14,9,7,2,3,0,19,32,1,7,5,15,23,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
05/04/2020,829,47,38,154,153,145,138,97,52,52,0,418,394,17,320,11,138,78,25,257,0,1,0,0,4,10,14,18,0,23,24,0,17,2,18,9,0,1
05/05/2020,995,55,41,172,175,201,169,119,51,66,1,518,452,25,404,19,158,100,37,277,0,1,1,1,0,11,15,26,0,26,29,0,17,4,19,15,0,0
04/19/2020,511,34,13,78,81,74,82,85,45,53,0,227,280,4,170,21,166,44,14,96,0,0,0,3,7,8,4,12,0,11,23,0,13,4,12,4,1,0
04/10/2020,762,31,11,101,139,153,161,104,51,42,0,350,396,16,236,20,231,96,27,152,0,0,1,2,3,3,9,13,0,10,21,0,3,2,23,3,0,0
05/07/2020,1107,46,62,205,203,242,188,116,49,42,0,513,542,52,513,6,115,84,30,359,0,0,1,2,7,14,8,14,0,19,27,0,14,3,19,8,1,1
05/17/2020,657,30,34,130,138,116,91,83,44,20,1,340,307,10,256,5,73,46,22,255,0,0,1,0,3,10,6,10,0,8,22,0,10,2,8,7,1,2
04/06/2020,435,22,7,46,63,65,91,78,49,36,0,209,222,4,82,16,182,81,14,60,0,0,0,2,5,1,8,6,0,9,13,0,3,0,16,3,0,0
03/06/2020,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/25/2020,815,40,33,149,149,144,155,107,42,35,1,390,406,19,303,10,137,102,41,222,0,0,2,1,6,6,12,13,0,14,26,0,12,2,19,6,0,1
04/14/2020,636,34,11,82,111,113,136,78,57,48,0,313,317,6,196,16,202,96,20,106,0,1,2,1,3,5,9,13,0,11,23,0,9,1,12,11,0,1
04/09/2020,787,25,7,103,115,144,168,131,69,50,0,358,388,41,203,19,315,115,26,109,0,0,0,0,3,7,5,10,0,13,12,0,5,1,14,5,0,0
05/16/2020,746,22,59,161,152,119,110,77,42,26,0,389,348,9,343,11,106,66,35,185,0,0,0,3,0,4,5,10,0,6,16,0,7,1,9,4,0,1
04/24/2020,1037,50,27,152,154,184,172,157,83,107,1,535,457,45,390,23,208,90,28,298,0,1,2,0,6,12,12,17,0,18,32,0,12,2,21,13,2,0
03/08/2020,3,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2020,1045,36,50,203,174,182,186,131,60,58,1,495,525,25,456,15,155,85,36,298,0,1,0,1,4,9,8,13,0,13,23,0,12,1,14,7,0,2
03/10/2020,4,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
