date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-5-18,46324,6,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-5-18,53142,9,161,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2020-5-18,60002,71,607,0,0,10,14,17,17,12,0,0,36,35,0,32,0,16,0,0,12,0,0
2020-5-18,60004,215,2613,6,11,31,33,35,43,30,15,11,95,96,24,65,6,78,11,10,45,0,0
2020-5-18,60005,127,806,0,0,17,27,23,24,14,6,13,66,61,0,35,0,37,0,9,36,0,0
2020-5-18,60007,205,1005,0,11,16,23,25,28,38,33,31,101,103,0,63,0,87,6,6,38,0,0
2020-5-18,60008,216,983,0,15,23,44,55,44,22,11,0,120,94,0,30,0,67,8,0,100,0,0
2020-5-18,60010,73,823,0,0,8,12,0,12,13,8,15,38,35,0,42,0,17,0,0,0,0,0
2020-5-18,60012,69,264,0,0,0,0,6,8,0,11,37,28,39,0,53,0,6,0,0,6,0,0
2020-5-18,60013,68,448,0,0,7,10,13,16,15,0,0,31,37,0,31,0,11,0,0,25,0,0
2020-5-18,60014,138,1125,0,10,17,30,23,24,17,0,12,56,81,0,74,0,15,0,6,39,0,0
2020-5-18,60015,143,870,0,0,12,11,21,23,12,25,34,63,80,0,100,0,10,12,9,7,0,0
2020-5-18,60016,821,2914,0,24,114,109,138,163,149,61,63,415,391,15,194,40,196,87,133,160,0,7
2020-5-18,60018,406,1428,0,19,71,70,81,66,42,23,34,196,205,0,65,10,123,22,20,163,0,0
2020-5-18,60020,27,312,0,0,0,8,8,0,0,0,0,11,14,0,11,0,7,0,0,0,0,0
2020-5-18,60021,17,107,0,0,0,0,0,6,0,0,0,7,10,0,12,0,0,0,0,0,0,0
2020-5-18,60022,23,261,0,0,6,0,0,0,0,0,0,13,10,0,18,0,0,0,0,0,0,0
2020-5-18,60025,277,1584,0,11,31,27,65,68,34,16,25,136,138,0,132,6,28,37,34,37,0,0
2020-5-18,60026,111,532,0,0,0,11,16,16,11,13,38,36,74,0,56,0,18,13,12,9,0,0
2020-5-18,60030,129,1044,0,0,32,19,20,21,24,0,0,64,61,0,50,9,12,0,0,47,0,0
2020-5-18,60031,231,1428,0,17,41,39,34,54,28,14,0,101,126,0,61,24,29,21,23,71,0,0
2020-5-18,60033,109,481,0,13,14,20,24,21,9,0,0,52,57,0,20,0,10,0,0,75,0,0
2020-5-18,60035,193,1234,0,9,31,26,31,30,21,18,27,102,90,0,109,7,17,17,0,38,0,0
2020-5-18,60040,99,262,0,7,10,17,19,16,7,10,13,37,46,16,11,0,22,0,0,63,0,0
2020-5-18,60041,34,242,0,0,6,6,6,8,0,0,0,16,18,0,12,0,0,0,0,13,0,0
2020-5-18,60042,20,182,0,0,0,0,6,0,0,0,0,7,13,0,0,0,0,0,0,11,0,0
2020-5-18,60043,15,113,0,0,0,0,0,8,0,0,0,8,7,0,14,0,0,0,0,0,0,0
2020-5-18,60044,75,445,0,0,0,6,0,7,7,10,33,30,45,0,36,0,12,6,10,6,0,0
2020-5-18,60045,104,708,0,0,12,8,15,30,17,6,11,55,49,0,79,0,10,7,6,0,0,0
2020-5-18,60046,144,908,0,11,18,20,14,32,23,8,18,70,73,0,71,0,21,11,0,32,0,0
2020-5-18,60047,181,874,0,6,12,13,22,20,22,28,58,81,99,0,76,0,75,6,0,20,0,0
2020-5-18,60048,92,720,0,0,10,10,18,11,11,15,13,49,42,0,60,0,15,0,0,7,0,0
2020-5-18,60050,162,937,0,0,10,16,29,29,30,21,22,79,83,0,75,0,26,0,9,50,0,0
2020-5-18,60051,75,620,0,0,12,6,11,21,17,0,0,34,40,0,43,0,0,0,0,23,0,0
2020-5-18,60053,224,1040,0,7,10,42,33,43,53,15,21,112,112,0,58,13,51,24,54,18,0,0
2020-5-18,60056,449,1886,0,19,64,94,99,93,51,20,9,229,220,0,98,10,111,30,38,155,0,0
2020-5-18,60060,319,1188,0,30,71,36,59,70,47,0,0,160,153,6,51,7,35,32,13,180,0,0
2020-5-18,60061,137,746,0,6,25,20,23,29,15,6,13,68,69,0,51,0,19,8,17,36,0,0
2020-5-18,60062,250,1740,0,0,27,19,35,42,46,36,41,120,126,0,116,0,65,26,19,19,0,0
2020-5-18,60064,504,1083,0,69,141,69,72,70,57,15,11,283,217,0,88,102,54,15,15,229,0,0
2020-5-18,60067,135,1190,0,9,18,27,21,28,13,9,10,60,74,0,57,6,33,11,0,20,0,0
2020-5-18,60068,247,1194,0,0,20,24,25,31,40,22,81,103,122,22,143,0,57,14,20,9,0,0
2020-5-18,60069,56,320,0,0,0,0,0,10,7,8,20,23,33,0,38,0,9,0,0,0,0,0
2020-5-18,60070,157,563,0,9,24,30,43,30,13,6,0,82,74,0,21,0,31,7,6,89,0,0
2020-5-18,60071,7,80,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2020-5-18,60073,667,2323,0,51,135,113,163,122,49,23,10,306,351,10,74,25,98,34,23,411,0,0
2020-5-18,60074,266,1222,0,18,43,65,57,46,27,6,0,132,131,0,42,9,71,10,9,122,0,0
