Zip,Tested,Positive Cases,Deaths,Date
53142,106,6,N/A,5/7/20
60002,424,60,N/A,5/7/20
60004,1683,168,N/A,5/7/20
60005,507,86,N/A,5/7/20
60007,613,123,N/A,5/7/20
60008,478,154,N/A,5/7/20
60010,496,51,N/A,5/7/20
60012,168,58,N/A,5/7/20
60013,291,51,N/A,5/7/20
60014,695,95,N/A,5/7/20
60015,639,116,N/A,5/7/20
60016,2022,688,N/A,5/7/20
60018,912,284,N/A,5/7/20
60020,182,21,N/A,5/7/20
60021,76,10,N/A,5/7/20
60022,198,23,N/A,5/7/20
60025,1135,222,N/A,5/7/20
60026,390,92,N/A,5/7/20
60030,613,93,N/A,5/7/20
60031,815,178,N/A,5/7/20
60033,263,68,N/A,5/7/20
60035,880,165,N/A,5/7/20
60040,145,52,N/A,5/7/20
60041,147,24,N/A,5/7/20
60042,109,17,N/A,5/7/20
60043,92,14,N/A,5/7/20
60044,285,60,N/A,5/7/20
60045,500,95,N/A,5/7/20
60046,571,103,N/A,5/7/20
60047,497,96,N/A,5/7/20
60048,456,72,N/A,5/7/20
60050,535,113,N/A,5/7/20
60051,365,57,N/A,5/7/20
60053,735,169,N/A,5/7/20
60056,1253,339,N/A,5/7/20
60060,738,229,N/A,5/7/20
60061,445,97,N/A,5/7/20
60062,1262,210,N/A,5/7/20
60064,665,359,N/A,5/7/20
60067,599,89,N/A,5/7/20
60068,827,179,N/A,5/7/20
60069,210,43,N/A,5/7/20
60070,380,111,N/A,5/7/20
60071,52,6,N/A,5/7/20
60073,1234,373,N/A,5/7/20
60074,810,194,N/A,5/7/20
60076,1376,300,N/A,5/7/20
60077,1142,250,N/A,5/7/20
60081,138,29,N/A,5/7/20
60083,200,56,N/A,5/7/20
60084,246,97,N/A,5/7/20
60085,2601,1378,N/A,5/7/20
60087,842,356,N/A,5/7/20
60088,73,35,N/A,5/7/20
60089,666,135,N/A,5/7/20
60090,1064,336,N/A,5/7/20
60091,763,110,N/A,5/7/20
60093,605,102,N/A,5/7/20
60096,103,19,N/A,5/7/20
60097,177,22,N/A,5/7/20
60098,622,177,N/A,5/7/20
60099,792,289,N/A,5/7/20
60101,1089,367,N/A,5/7/20
60102,434,70,N/A,5/7/20
60103,711,127,N/A,5/7/20
60104,867,264,N/A,5/7/20
60106,953,284,N/A,5/7/20
60107,897,255,N/A,5/7/20
60108,1026,128,N/A,5/7/20
60109,259,57,N/A,5/7/20
60110,614,235,N/A,5/7/20
60112,74,15,N/A,5/7/20
60115,552,58,N/A,5/7/20
60118,187,34,N/A,5/7/20
60119,156,17,N/A,5/7/20
60120,1039,441,N/A,5/7/20
60123,898,270,N/A,5/7/20
60124,271,39,N/A,5/7/20
60126,1018,156,N/A,5/7/20
60130,523,73,N/A,5/7/20
60131,697,198,N/A,5/7/20
60133,936,330,N/A,5/7/20
60134,376,79,N/A,5/7/20
60135,104,16,N/A,5/7/20
60136,113,25,N/A,5/7/20
60137,620,78,N/A,5/7/20
60139,982,279,N/A,5/7/20
60140,273,40,N/A,5/7/20
60141,163,6,N/A,5/7/20
60142,464,46,N/A,5/7/20
60143,416,86,N/A,5/7/20
60148,992,156,N/A,5/7/20
60152,180,34,N/A,5/7/20
60153,1083,277,N/A,5/7/20
60154,670,121,N/A,5/7/20
60155,357,114,N/A,5/7/20
60156,423,64,N/A,5/7/20
60157,38,6,N/A,5/7/20
60160,1074,359,N/A,5/7/20
60162,366,92,N/A,5/7/20
60163,187,50,N/A,5/7/20
60164,1222,254,N/A,5/7/20
60165,222,104,N/A,5/7/20
60169,685,190,N/A,5/7/20
60171,340,63,N/A,5/7/20
60172,495,131,N/A,5/7/20
60173,175,40,N/A,5/7/20
60174,710,64,N/A,5/7/20
60175,374,38,N/A,5/7/20
60176,339,75,N/A,5/7/20
60177,387,91,N/A,5/7/20
