the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,NEG,19111,1685,2020-05-14 17:20:02
,,POS,19144,640,2020-05-14 17:20:02
,,NEG,19140,1549,2020-05-14 17:20:02
,,POS,19136,626,2020-05-14 17:20:02
,,NEG,19122,640,2020-05-14 17:20:02
,,POS,19127,27,2020-05-14 17:20:02
,,POS,19104,473,2020-05-14 17:20:02
,,NEG,19101,20,2020-05-14 17:20:02
,,POS,19121,341,2020-05-14 17:20:02
,,POS,19131,756,2020-05-14 17:20:02
,,NEG,19149,1033,2020-05-14 17:20:02
,,NEG,19124,1410,2020-05-14 17:20:02
,,POS,19153,164,2020-05-14 17:20:02
,,POS,19137,37,2020-05-14 17:20:02
,,NEG,19144,1367,2020-05-14 17:20:02
,,POS,19116,505,2020-05-14 17:20:02
,,POS,19139,703,2020-05-14 17:20:02
,,NEG,19152,865,2020-05-14 17:20:02
,,NEG,19130,1053,2020-05-14 17:20:02
,,NEG,19128,933,2020-05-14 17:20:02
,,POS,19138,444,2020-05-14 17:20:02
,,POS,19122,194,2020-05-14 17:20:02
,,POS,19149,601,2020-05-14 17:20:02
,,NEG,19147,1250,2020-05-14 17:20:02
,,NEG,19114,758,2020-05-14 17:20:02
,,NEG,19115,900,2020-05-14 17:20:02
,,POS,19124,732,2020-05-14 17:20:02
,,NEG,19154,838,2020-05-14 17:20:02
,,NEG,19131,1622,2020-05-14 17:20:02
,,NEG,19103,720,2020-05-14 17:20:02
,,POS,19143,843,2020-05-14 17:20:02
,,NEG,19105,13,2020-05-14 17:20:02
,,NEG,19104,1468,2020-05-14 17:20:02
,,NEG,19136,885,2020-05-14 17:20:02
,,NEG,19142,870,2020-05-14 17:20:02
,,NEG,19107,785,2020-05-14 17:20:02
,,POS,19130,248,2020-05-14 17:20:02
,,NEG,19116,747,2020-05-14 17:20:02
,,NEG,19141,917,2020-05-14 17:20:02
,,POS,19140,698,2020-05-14 17:20:02
,,POS,19133,335,2020-05-14 17:20:02
,,POS,19152,488,2020-05-14 17:20:02
,,NEG,19150,811,2020-05-14 17:20:02
,,NEG,19137,208,2020-05-14 17:20:02
,,POS,19148,560,2020-05-14 17:20:02
,,POS,19105,6,2020-05-14 17:20:02
,,NEG,19132,1106,2020-05-14 17:20:02
,,POS,19101,26,2020-05-14 17:20:02
,,NEG,19145,1777,2020-05-14 17:20:02
,,NEG,19121,1012,2020-05-14 17:20:02
,,NEG,19123,690,2020-05-14 17:20:02
,,POS,19128,269,2020-05-14 17:20:02
,,NEG,19129,391,2020-05-14 17:20:02
,,POS,19129,93,2020-05-14 17:20:02
,,NEG,19120,1616,2020-05-14 17:20:02
,,POS,19126,445,2020-05-14 17:20:02
,,NEG,19134,1377,2020-05-14 17:20:02
,,POS,19151,483,2020-05-14 17:20:02
,,NEG,19119,878,2020-05-14 17:20:02
,,NEG,19148,1708,2020-05-14 17:20:02
,,POS,19114,361,2020-05-14 17:20:02
,,NEG,19127,137,2020-05-14 17:20:02
,,POS,19125,169,2020-05-14 17:20:02
,,NEG,19143,2469,2020-05-14 17:20:02
,,NEG,19151,1040,2020-05-14 17:20:02
,,POS,19150,354,2020-05-14 17:20:02
,,POS,19145,473,2020-05-14 17:20:02
,,NEG,19118,298,2020-05-14 17:20:02
,,NEG,19133,663,2020-05-14 17:20:02
,,POS,19132,491,2020-05-14 17:20:02
,,POS,19115,631,2020-05-14 17:20:02
,,POS,19107,185,2020-05-14 17:20:02
,,POS,19118,148,2020-05-14 17:20:02
,,NEG,19138,1033,2020-05-14 17:20:02
,,NEG,19126,560,2020-05-14 17:20:02
,,POS,19147,262,2020-05-14 17:20:02
,,POS,19154,341,2020-05-14 17:20:02
,,NEG,19125,707,2020-05-14 17:20:02
,,POS,19119,399,2020-05-14 17:20:02
,,NEG,19146,1633,2020-05-14 17:20:02
,,NEG,19197,8,2020-05-14 17:20:02
,,NEG,19106,391,2020-05-14 17:20:02
,,POS,19141,443,2020-05-14 17:20:02
,,POS,19134,545,2020-05-14 17:20:02
,,NEG,19135,815,2020-05-14 17:20:02
,,POS,19120,941,2020-05-14 17:20:02
,,POS,19146,389,2020-05-14 17:20:02
,,POS,19102,45,2020-05-14 17:20:02
,,NEG,19139,1658,2020-05-14 17:20:02
,,POS,19111,844,2020-05-14 17:20:02
,,POS,19106,54,2020-05-14 17:20:02
,,POS,19103,187,2020-05-14 17:20:02
,,NEG,19153,411,2020-05-14 17:20:02
,,POS,19135,340,2020-05-14 17:20:02
,,NEG,19102,214,2020-05-14 17:20:02
,,POS,19123,242,2020-05-14 17:20:02
,,POS,19142,505,2020-05-14 17:20:02
