the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,NEG,19111,1365,2020-05-04 17:20:02
,,POS,19144,540,2020-05-04 17:20:02
,,NEG,19140,1096,2020-05-04 17:20:02
,,POS,19136,525,2020-05-04 17:20:02
,,NEG,19122,508,2020-05-04 17:20:02
,,POS,19127,21,2020-05-04 17:20:02
,,POS,19104,423,2020-05-04 17:20:02
,,NEG,19101,17,2020-05-04 17:20:02
,,POS,19121,297,2020-05-04 17:20:02
,,POS,19131,637,2020-05-04 17:20:02
,,NEG,19149,785,2020-05-04 17:20:02
,,NEG,19124,1041,2020-05-04 17:20:02
,,POS,19153,137,2020-05-04 17:20:02
,,POS,19137,30,2020-05-04 17:20:02
,,NEG,19144,1035,2020-05-04 17:20:02
,,POS,19116,440,2020-05-04 17:20:02
,,POS,19139,599,2020-05-04 17:20:02
,,NEG,19152,728,2020-05-04 17:20:02
,,NEG,19130,968,2020-05-04 17:20:02
,,NEG,19128,764,2020-05-04 17:20:02
,,POS,19138,382,2020-05-04 17:20:02
,,POS,19122,159,2020-05-04 17:20:02
,,POS,19149,462,2020-05-04 17:20:02
,,NEG,19147,1093,2020-05-04 17:20:02
,,NEG,19114,633,2020-05-04 17:20:02
,,NEG,19115,741,2020-05-04 17:20:02
,,POS,19124,585,2020-05-04 17:20:02
,,NEG,19154,775,2020-05-04 17:20:02
,,NEG,19131,1248,2020-05-04 17:20:02
,,NEG,19103,681,2020-05-04 17:20:02
,,POS,19143,704,2020-05-04 17:20:02
,,NEG,19105,11,2020-05-04 17:20:02
,,NEG,19104,1071,2020-05-04 17:20:02
,,NEG,19136,698,2020-05-04 17:20:02
,,NEG,19142,690,2020-05-04 17:20:02
,,NEG,19107,849,2020-05-04 17:20:02
,,POS,19130,218,2020-05-04 17:20:02
,,NEG,19116,601,2020-05-04 17:20:02
,,NEG,19141,683,2020-05-04 17:20:02
,,POS,19140,559,2020-05-04 17:20:02
,,POS,19133,263,2020-05-04 17:20:02
,,POS,19152,391,2020-05-04 17:20:02
,,NEG,19150,628,2020-05-04 17:20:02
,,NEG,19137,262,2020-05-04 17:20:02
,,POS,19148,459,2020-05-04 17:20:02
,,POS,19105,5,2020-05-04 17:20:02
,,NEG,19132,896,2020-05-04 17:20:02
,,POS,19101,23,2020-05-04 17:20:02
,,NEG,19145,1655,2020-05-04 17:20:02
,,NEG,19123,612,2020-05-04 17:20:02
,,NEG,19121,803,2020-05-04 17:20:02
,,POS,19128,227,2020-05-04 17:20:02
,,NEG,19129,291,2020-05-04 17:20:02
,,POS,19129,79,2020-05-04 17:20:02
,,NEG,19120,1217,2020-05-04 17:20:02
,,POS,19126,394,2020-05-04 17:20:02
,,NEG,19134,1052,2020-05-04 17:20:02
,,POS,19151,419,2020-05-04 17:20:02
,,NEG,19119,687,2020-05-04 17:20:02
,,NEG,19148,1837,2020-05-04 17:20:02
,,POS,19114,278,2020-05-04 17:20:02
,,NEG,19127,108,2020-05-04 17:20:02
,,POS,19125,151,2020-05-04 17:20:02
,,NEG,19143,1766,2020-05-04 17:20:02
,,NEG,19151,780,2020-05-04 17:20:02
,,POS,19150,323,2020-05-04 17:20:02
,,POS,19145,409,2020-05-04 17:20:02
,,NEG,19118,237,2020-05-04 17:20:02
,,NEG,19133,442,2020-05-04 17:20:02
,,POS,19132,413,2020-05-04 17:20:02
,,POS,19115,560,2020-05-04 17:20:02
,,POS,19107,129,2020-05-04 17:20:02
,,POS,19118,141,2020-05-04 17:20:02
,,NEG,19126,428,2020-05-04 17:20:02
,,NEG,19138,767,2020-05-04 17:20:02
,,POS,19147,218,2020-05-04 17:20:02
,,POS,19154,251,2020-05-04 17:20:02
,,NEG,19125,538,2020-05-04 17:20:02
,,POS,19119,329,2020-05-04 17:20:02
,,NEG,19146,1530,2020-05-04 17:20:02
,,NEG,19197,8,2020-05-04 17:20:02
,,NEG,19106,323,2020-05-04 17:20:02
,,POS,19141,379,2020-05-04 17:20:02
,,POS,19134,412,2020-05-04 17:20:02
,,NEG,19135,615,2020-05-04 17:20:02
,,POS,19120,768,2020-05-04 17:20:02
,,POS,19146,354,2020-05-04 17:20:02
,,POS,19102,43,2020-05-04 17:20:02
,,NEG,19139,1104,2020-05-04 17:20:02
,,POS,19111,706,2020-05-04 17:20:02
,,POS,19106,44,2020-05-04 17:20:02
,,POS,19103,160,2020-05-04 17:20:02
,,NEG,19153,302,2020-05-04 17:20:02
,,POS,19135,279,2020-05-04 17:20:02
,,NEG,19102,184,2020-05-04 17:20:02
,,POS,19123,212,2020-05-04 17:20:02
,,POS,19142,420,2020-05-04 17:20:02
