city,GEOID,value_tests_pc,lagged_tests_pc,moranI_tests_pc,pval_tests_pc,moran_cluster_tests_pc,value_pct_pos,lagged_pct_pos,moranI_pct_pos,pval_pct_pos,moran_cluster_pct_pos,value_pos_pc,lagged_pos_pc,moranI_pos_pc,pval_pos_pc,moran_cluster_pos_pc,value_deaths_pc,lagged_deaths_pc,moranI_deaths_pc,pval_deaths_pc,moran_cluster_deaths_pc
Chicago,60601,0.644,8.41,5.508,0.004,H-H,-1.256,-7.456,9.532,<0.001,L-L,-1.1,-5.242,5.867,0.005,L-L,-0.843,-7.9,6.778,0.001,L-L
Chicago,60602,1.704,6.067,10.52,<0.001,H-H,-1.311,-4.117,5.492,<0.001,L-L,-0.83,-2.66,2.245,0.084,,-1.504,-3.33,5.096,0.001,L-L
Chicago,60603,0.471,9.951,4.766,0.006,H-H,-1.406,-5.634,8.059,<0.001,L-L,-1.367,-2.03,2.823,0.084,,-1.504,-6.103,9.34,<0.001,L-L
Chicago,60604,2.462,6.029,15.104,<0.001,H-H,-0.459,-4.484,2.092,0.13,,1.22,-2.795,-3.468,0.963,,-1.504,-5.041,7.715,<0.001,L-L
Chicago,60605,0.189,3.528,0.679,0.345,,-1.153,-4.375,5.133,0.007,L-L,-1.127,-2.352,2.697,0.094,,-1.269,-5.365,6.928,<0.001,L-L
Chicago,60606,4.952,6.59,33.21,<0.001,H-H,-1.454,-6.882,10.185,<0.001,L-L,-0.193,-3.783,0.742,0.362,,-0.983,-9.48,9.481,<0.001,L-L
Chicago,60607,0.417,9.444,4.007,0.056,,-0.47,-6.977,3.339,0.11,,-0.108,-2.644,0.291,0.435,,-1.286,-7.013,9.174,<0.001,L-L
Chicago,60608,-0.19,-0.962,0.186,0.445,,0.641,4.959,3.234,0.074,,0.772,5.575,4.379,0.025,H-H,0.108,0.922,0.101,0.464,
Chicago,60609,-0.315,-1.807,0.579,0.377,,1.455,2.103,3.114,0.095,,1.533,1.77,2.76,0.12,,0.651,2.669,1.768,0.221,
Chicago,60610,0.376,1.899,0.727,0.323,,-0.972,-4.042,3.998,0.017,L-L,-0.811,-3.272,2.698,0.073,,-1.09,-2.999,3.325,0.038,L-L
Chicago,60611,0.513,1.6,0.835,0.278,,-1.227,-3.133,3.911,0.009,L-L,-1.104,-2.532,2.845,0.041,L-L,-1.305,-3.268,4.339,0.004,L-L
Chicago,60612,0.191,0.33,0.064,0.468,,-0.082,2.597,-0.216,0.524,,0.245,3.602,0.899,0.32,,-0.044,0.436,-0.019,0.487,
Chicago,60613,0.169,-0.256,-0.044,0.494,,-0.998,-1.879,1.909,0.151,,-0.938,-1.857,1.773,0.167,,-0.504,-0.072,0.037,0.478,
Chicago,60614,0.247,2.521,0.634,0.362,,-0.999,-4.546,4.622,0.02,L-L,-0.904,-3.067,2.822,0.101,,0.105,-2.562,-0.274,0.529,
Chicago,60615,0.156,-0.192,-0.03,0.491,,-1.057,0.475,-0.512,0.591,,-1.018,0.77,-0.798,0.649,,-0.882,2.109,-1.892,0.83,
Chicago,60616,-0.465,0.358,-0.169,0.517,,-0.783,0.028,-0.022,0.488,,-0.996,0.892,-0.905,0.65,,-0.228,-1.177,0.273,0.432,
Chicago,60617,-0.399,-1.709,0.693,0.33,,0.209,0.386,0.082,0.468,,0.095,-0.239,-0.023,0.49,,0.062,3.829,0.243,0.435,
Chicago,60618,-0.109,0.819,-0.091,0.494,,-0.256,-3.492,0.911,0.338,,-0.193,-2.594,0.51,0.398,,-0.597,0.222,-0.135,0.502,
Chicago,60619,-0.213,-2.051,0.445,0.396,,-0.266,0.051,-0.014,0.484,,-0.279,-0.751,0.213,0.445,,0.316,5.559,1.789,0.205,
Chicago,60620,-0.536,-2.224,1.213,0.264,,0.126,2.185,0.279,0.434,,-0.112,1.498,-0.17,0.511,,0.394,5.772,2.317,0.146,
Chicago,60621,-0.604,-0.937,0.575,0.372,,0.324,0.338,0.112,0.463,,0.026,0.269,0.007,0.48,,1.389,1.286,1.818,0.202,
Chicago,60622,0.853,1.247,1.082,0.296,,-0.796,-0.775,0.628,0.38,,-0.327,0.742,-0.247,0.52,,0.21,-1.053,-0.225,0.517,
Chicago,60623,-0.328,-1.189,0.397,0.4,,2.356,4.667,11.187,<0.001,H-H,2.496,4.969,12.619,<0.001,H-H,1.522,1.898,2.939,0.077,
Chicago,60624,-0.421,0.135,-0.058,0.494,,0.867,3.484,3.073,0.069,,0.77,4.551,3.563,0.042,H-H,-0.119,3.875,-0.467,0.571,
Chicago,60625,-0.41,-2.128,0.887,0.333,,0.298,-1.632,-0.495,0.554,,0.179,-2.307,-0.421,0.543,,0.8,1.095,0.892,0.346,
Chicago,60626,0.158,-0.85,-0.137,0.533,,-0.038,-0.078,0.003,0.489,,0.275,-0.353,-0.099,0.519,,2.395,0.898,2.188,0.053,
Chicago,60628,-0.544,-4.569,2.527,0.104,,0.199,1.402,0.284,0.433,,-0.044,-2.392,0.106,0.463,,1.378,-0.07,-0.099,0.499,
Chicago,60629,-0.321,-1.801,0.589,0.352,,2.026,5.755,11.868,<0.001,H-H,2.148,5.326,11.642,<0.001,H-H,0.23,1.879,0.439,0.395,
Chicago,60630,-0.532,-1.244,0.673,0.346,,-0.003,0.973,-0.003,0.484,,-0.239,1.119,-0.272,0.535,,0.384,0.697,0.272,0.433,
Chicago,60631,0.102,-0.789,-0.082,0.515,,-0.46,-0.415,0.194,0.434,,-0.296,-0.723,0.218,0.427,,0.904,0.177,0.163,0.443,
Chicago,60632,-0.462,-2.015,0.946,0.308,,2.483,8.4,21.225,<0.001,H-H,2.406,8.665,21.21,<0.001,H-H,0.307,3.71,1.157,0.291,
Chicago,60633,-0.513,-3.965,2.069,0.08,,0.4,1.705,0.693,0.328,,0.188,-2.066,-0.396,0.582,,-0.751,0.389,-0.297,0.558,
Chicago,60634,-0.069,-3.396,0.24,0.432,,0.534,3.874,2.103,0.151,,0.771,1.735,1.361,0.246,,-0.164,-0.933,0.156,0.454,
Chicago,60636,-0.499,-2.717,1.378,0.239,,0.94,7.764,7.427,<0.001,H-H,0.757,7.205,5.55,0.007,H-H,1.356,3.344,4.615,0.02,H-H
Chicago,60637,0.47,-1.1,-0.526,0.604,,-0.859,-0.947,0.828,0.32,,-0.612,-1.376,0.856,0.314,,-0.55,3.709,-2.077,0.853,
Chicago,60638,-0.362,-1.262,0.465,0.366,,0.982,5.86,5.854,<0.001,H-H,0.96,5.757,5.621,<0.001,H-H,-0.157,0.909,-0.146,0.522,
Chicago,60639,0.016,-2.104,-0.034,0.489,,1.901,3.317,6.416,0.001,H-H,2.518,1.878,4.811,0.01,H-H,0.674,-0.542,-0.372,0.553,
Chicago,60640,-0.053,-0.846,0.046,0.473,,-0.739,-1.508,1.134,0.265,,-0.728,-1.725,1.277,0.24,,0.559,-0.235,-0.134,0.513,
Chicago,60641,0.024,-0.578,-0.014,0.483,,0.556,2.045,1.157,0.292,,0.892,3.057,2.774,0.105,,-0.116,1.311,-0.155,0.509,
Chicago,60642,0.559,2.786,1.584,0.21,,-0.911,-5.218,4.837,0.016,L-L,-0.641,-3.747,2.445,0.133,,-0.464,-4.899,2.313,0.146,
Chicago,60643,0.114,-4.131,-0.48,0.594,,-0.363,1.272,-0.47,0.582,,-0.167,-2.52,0.428,0.397,,0.959,0.002,0.002,0.485,
Chicago,60644,-0.308,-1.022,0.32,0.402,,0.758,4.471,3.447,0.018,H-H,0.777,4.625,3.655,0.013,H-H,1.646,1.944,3.257,0.024,H-H
Chicago,60645,-0.354,-1.27,0.458,0.368,,0.473,0.2,0.096,0.465,,0.42,-0.374,-0.16,0.526,,0.832,2.728,2.309,0.079,
Chicago,60646,-0.198,-2.364,0.476,0.385,,-0.428,0.637,-0.278,0.536,,-0.453,-0.502,0.231,0.44,,1.037,1.496,1.578,0.216,
